file	percent	reads	taxon_id	taxon_name
./tables/SRR8490409.out	0.0015936175616655297	16	7	Azorhizobium caulinodans
./tables/SRR8490409.out	0.0003984043904163824	4	9	Buchnera aphidicola
./tables/SRR8490409.out	0.00029880329281228683	3	11	Cellulomonas gilvus
./tables/SRR8490409.out	0.00029880329281228683	3	19	Syntrophotalea carbinolica
./tables/SRR8490409.out	0.0018924208544778163	19	33	Myxococcus fulvus
./tables/SRR8490409.out	0.00029880329281228683	3	34	Myxococcus xanthus
./tables/SRR8490409.out	0.0005976065856245737	6	41	Stigmatella aurantiaca
./tables/SRR8490409.out	0.0008964098784368604	9	43	Cystobacter fuscus
./tables/SRR8490409.out	0.0013944153664573384	14	52	Chondromyces crocatus
./tables/SRR8490409.out	0.0025896285377064853	26	56	Sorangium cellulosum
./tables/SRR8490409.out	0.000498005488020478	5	63	Vitreoscilla filiformis
./tables/SRR8490409.out	0.0003984043904163824	4	69	Lysobacter enzymogenes
./tables/SRR8490409.out	0.0006972076832286692	7	104	Cyclobacterium marinum
./tables/SRR8490409.out	0.0040836450017679195	41	106	Runella slithyformis
./tables/SRR8490409.out	0.000996010976040956	10	114	Gemmata obscuriglobus
./tables/SRR8490409.out	0.001693218659269625	17	119	Rubinisphaera brasiliensis
./tables/SRR8490409.out	9.96010976040956e-05	1	120	Planctopirus limnophila
./tables/SRR8490409.out	0.0001992021952081912	2	125	Pirellula staleyi
./tables/SRR8490409.out	0.0008964098784368604	9	154	Spirochaeta thermophila
./tables/SRR8490409.out	0.002788830732914677	28	158	Treponema denticola
./tables/SRR8490409.out	0.0006972076832286692	7	159	Brachyspira hyodysenteriae
./tables/SRR8490409.out	0.0008964098784368604	9	167	Treponema succinifaciens
./tables/SRR8490409.out	9.96010976040956e-05	1	172	Leptospira biflexa
./tables/SRR8490409.out	9.96010976040956e-05	1	180	Leptospirillum ferrooxidans
./tables/SRR8490409.out	0.00029880329281228683	3	192	Azospirillum brasilense
./tables/SRR8490409.out	0.005378459270621162	54	195	Campylobacter coli
./tables/SRR8490409.out	0.0017928197568737208	18	197	Campylobacter jejuni
./tables/SRR8490409.out	0.000996010976040956	10	198	Campylobacter hyointestinalis
./tables/SRR8490409.out	0.000498005488020478	5	199	Campylobacter concisus
./tables/SRR8490409.out	0.0001992021952081912	2	200	Campylobacter curvus
./tables/SRR8490409.out	0.0001992021952081912	2	201	Campylobacter lari
./tables/SRR8490409.out	0.00029880329281228683	3	206	Campylobacter sputorum
./tables/SRR8490409.out	0.0006972076832286692	7	210	Helicobacter pylori
./tables/SRR8490409.out	0.0001992021952081912	2	214	Helicobacter felis
./tables/SRR8490409.out	0.00029880329281228683	3	227	Pseudoalteromonas carrageenovora
./tables/SRR8490409.out	0.003486038416143346	35	238	Elizabethkingia meningoseptica
./tables/SRR8490409.out	0.0005976065856245737	6	253	Chryseobacterium indologenes
./tables/SRR8490409.out	0.00029880329281228683	3	256	Myroides odoratus
./tables/SRR8490409.out	0.000498005488020478	5	274	Thermus thermophilus
./tables/SRR8490409.out	9.96010976040956e-05	1	277	Meiothermus ruber
./tables/SRR8490409.out	0.0005976065856245737	6	280	Xanthobacter autotrophicus
./tables/SRR8490409.out	0.000498005488020478	5	285	Comamonas testosteroni
./tables/SRR8490409.out	0.0007968087808327649	8	287	Pseudomonas aeruginosa
./tables/SRR8490409.out	0.0001992021952081912	2	293	Brevundimonas diminuta
./tables/SRR8490409.out	0.001992021952081912	20	294	Pseudomonas fluorescens
./tables/SRR8490409.out	9.96010976040956e-05	1	296	Pseudomonas fragi
./tables/SRR8490409.out	9.96010976040956e-05	1	297	Hydrogenophilus thermoluteolus
./tables/SRR8490409.out	0.001494016464061434	15	300	Pseudomonas mendocina
./tables/SRR8490409.out	0.002788830732914677	28	303	Pseudomonas putida
./tables/SRR8490409.out	9.96010976040956e-05	1	305	Ralstonia solanacearum
./tables/SRR8490409.out	0.0015936175616655297	16	316	Stutzerimonas stutzeri
./tables/SRR8490409.out	0.0011952131712491473	12	317	Pseudomonas syringae
